70.83,2.6423,8.6898,-0.38137
70.86,1.1169,8.8941,0.19068
70.89,0,8.9213,0.19068
70.92,-0.081722,8.4991,-0.081722
70.95,-0.10896,8.2812,-0.23155
70.98,-0.84446,7.8862,-0.040861
71.01,-1.4574,7.8181,0.57205
71.04,-1.185,8.0496,1.2258
71.07,-0.84446,8.0496,2.152
71.1,-0.95342,8.3084,2.3427
71.13,-0.99429,8.8124,1.6889
71.16,-0.8036,9.507,0.88532
71.19,-0.91256,10.311,0.61292
71.221,-1.185,10.379,1.0351
71.25,-1.3757,9.8066,1.9205
71.28,-1.0351,9.3844,2.1793
71.31,-0.84446,10.338,1.076
71.34,-1.4982,12.177,-0.29965
71.37,-2.6015,10.883,-1.3076
71.4,-1.9886,9.3436,-2.1384
71.43,-0.91256,9.4661,-2.261
71.46,-0.95342,9.9156,-1.7979
71.49,-1.3757,9.9973,-1.185
71.52,-1.2667,9.1529,-0.23155
71.55,-1.3348,8.4991,0.10896
71.59,-1.3076,8.4719,-0.76274
71.631,-1.7979,8.7306,-1.1169
71.66,-2.0703,9.003,-0.8036
71.69,-1.7979,9.4253,-0.53119
71.72,-1.9886,9.6568,-0.27241
71.75,-1.9477,8.8941,-0.081722
71.78,-1.5255,8.0769,-0.040861
71.82,-1.1169,7.0145,0.040861
71.85,-0.99429,6.4016,0.46309
71.88,-1.3757,6.8919,0.76274
71.91,-1.7979,7.9679,0.88532
71.94,-2.5606,9.112,0.88532
71.97,-3.5958,9.8475,0.99429
72,-4.0589,10.733,1.2258
72.03,-3.5958,11.414,1.2667
72.06,-3.2144,11.959,0.95342
72.09,-2.2201,12.83,0.84446
72.12,-1.7298,12.64,0.8036
72.15,-1.9886,11.754,0.53119
72.18,-1.9886,11.305,0.69464
72.21,-1.5663,10.27,0.99429
72.24,-1.2258,8.9622,1.3757
72.27,-0.88532,7.6274,1.185
72.3,-0.65378,6.5514,0.69464
72.33,-0.42223,5.9385,0.69464
72.36,-0.29965,5.9793,0.69464
72.39,-0.53119,5.9793,0.50395
72.42,-0.61292,5.5571,-0.040861
72.45,-0.27241,5.8567,0.040861
72.48,-0.27241,6.279,0.57205
72.51,-0.57205,6.4424,1.1441
72.54,-0.61292,7.464,1.0351
72.57,-0.57205,10.801,0
72.6,-1.2258,15.827,-1.185
72.63,-2.3427,18.428,-2.5606
72.671,-3.1735,18.96,-3.1054
72.7,-2.6832,15.936,-2.1793
72.741,-3.1054,12.572,0.14982
72.781,-2.0294,7.4367,0.65378
72.82,-1.5255,5.2847,-0.46309
72.851,-1.185,5.1757,-1.4165
72.88,-0.8036,5.2438,-1.5663
72.91,-0.88532,6.6331,-1.9205
72.94,-1.4574,8.3901,-2.3699
72.981,-1.7979,8.431,-1.2258
73.02,-1.7298,8.3084,0.65378
73.05,-2.3699,8.431,0.69464
73.08,-3.1463,8.6625,0.040861
73.11,-4.5901,9.5751,0.10896
73.14,-5.4345,10.079,0.61292
73.17,-4.3994,9.8884,1.1169
73.201,-3.8273,10.12,2.0703
73.23,-3.7592,11.182,1.3076
73.26,-2.4925,13.144,0.27241
73.29,-1.6889,14.478,0.88532
73.321,-1.6481,14.138,1.4574
73.351,-1.185,12.49,1.3757
73.381,-1.0351,10.651,0.65378
73.41,-0.57205,9.003,-0.27241
73.44,-0.23155,7.6955,-0.14982
73.47,-0.14982,6.4697,0.38137
73.5,0.19068,5.6661,0.88532
73.53,0.46309,5.8295,1.3076
73.57,0.61292,7.246,1.3757
73.6,0.27241,9.112,1.2667
73.64,-0.14982,9.1529,0.46309
73.671,-0.72188,8.8532,-0.42223
73.7,-1.0351,8.0088,0
73.731,-0.95342,7.2733,0.69464
73.76,-0.84446,7.0826,1.5391
73.791,-0.76274,6.7829,1.9477
73.82,-1.0351,6.7012,1.9205
73.87,-0.88532,6.7421,1.185
73.9,-1.4165,12.177,-0.65378
73.93,-1.8796,17.734,-2.1793
73.96,-3.2553,19.041,-3.2553
74,-2.9556,16.862,-3.7592
74.031,-2.1112,14.138,-2.1384
74.07,-1.8387,10.651,-0.65378
